periode_data;nama_sungai;nama_lokasi;parameter;satuan;nilai
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;DO;MG/L;1.14
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;BOD;MG/L;42.33
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;COD;MG/L;117.65
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;NO2;MG/L;-
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;NO3;MG/L;-
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;NH3;MG/L;-
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;KLORIN BEBAS;MG/L;-
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;T-P JUMLAH;-;-
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;T-P;MG/L;2.04
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;FENOL;?/L;-
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;MINYAK LEMAK;?/L;0.15
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;DETERGEN;?/L;0.38
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;FECAL COLIFORM;JMLH/100ML;980
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;TOTAL COLIFORM;JMLH/100ML;1950000
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;SIANIDA;MG/L;-
201511;SUNGAI KALI BARU TIMUR;DEPAN RSJ GROGOL;H2S;MG/L;-
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;KOORDINAT DERAJAT LINTANG;-;-
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;KOORDINAT MENIT LINTANG;-;-
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;KOORDINAT DETIK LINTANG;-;-
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;KOORDINAT DERAJAT BUJUR TIMUR;-;-
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;KOORDINAT MENIT BUJUR TIMUR;-;-
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;TSS;MG/L;27
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;DO;MG/L;0
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;BOD;MG/L;6.71
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;COD;MG/L;20.7
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;NO2;MG/L;-
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;NO3;MG/L;-
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;NH3;MG/L;-
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;KLORIN BEBAS;MG/L;-
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;T-P JUMLAH;-;-
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;T-P;MG/L;0.09
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;FENOL;?/L;-
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;MINYAK LEMAK;?/L;0.41
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;DETERGEN;?/L;0.07
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;FECAL COLIFORM;JMLH/100ML;20
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;TOTAL COLIFORM;JMLH/100ML;130
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;SIANIDA;MG/L;-
201511;SUNGAI PESANGGRAHAN;REL KERETA API/KEMBANGAN;H2S;MG/L;-
201511;SUNGAI PESANGGRAHAN;KAPUK/MUARA CENGKARENG ANGKE;KOORDINAT DERAJAT LINTANG;-;-
201511;SUNGAI PESANGGRAHAN;KAPUK/MUARA CENGKARENG ANGKE;KOORDINAT MENIT LINTANG;-;-
201511;SUNGAI PESANGGRAHAN;KAPUK/MUARA CENGKARENG ANGKE;KOORDINAT DETIK LINTANG;-;-
201511;SUNGAI PESANGGRAHAN;KAPUK/MUARA CENGKARENG ANGKE;KOORDINAT DERAJAT BUJUR TIMUR;-;-
201511;SUNGAI ANGKE;JL. KALIMALANG;-;-;-
201511;SUNGAI ANGKE;JL. KALIMALANG;-;-;-
201511;SUNGAI ANGKE;JL. KALIMALANG;-;-;-
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;KOORDINAT DERAJAT LINTANG;-;-
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;KOORDINAT MENIT LINTANG;-;-
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;KOORDINAT DETIK LINTANG;-;-
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;KOORDINAT DERAJAT BUJUR TIMUR;-;-
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;KOORDINAT MENIT BUJUR TIMUR;-;-
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;KOORDINAT DETIK BUJUR TIMUR;-;-
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;WAKTU SAMPLING;-;-
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;TEMPERATUR;CELCIUS;-
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;RESIDU TERLARUT;MG/L;439
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;RESIDU TERSUSPENSI;MG/L;76
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;PH;-;7
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;DHL;MG/L;825
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;TDS;MG/L;439
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;TSS;MG/L;76
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;DO;MG/L;0
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;BOD;MG/L;24.47
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;COD;MG/L;139.81
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;NO2;MG/L;-
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;NO3;MG/L;-
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;NH3;MG/L;-
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;KLORIN BEBAS;MG/L;-
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;T-P JUMLAH;-;-
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;T-P;MG/L;1.84
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;FENOL;?/L;-
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;MINYAK LEMAK;?/L;0.09
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;DETERGEN;?/L;3.28
201511;SUNGAI ANGKE;JL.JATINEGARA KAUM;FECAL COLIFORM;JMLH/100ML;3300000
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;KOORDINAT DETIK BUJUR TIMUR;-;-
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;WAKTU SAMPLING;-;-
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;TEMPERATUR;CELCIUS;-
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;RESIDU TERLARUT;MG/L;668
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;RESIDU TERSUSPENSI;MG/L;37
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;PH;-;7.3
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;DHL;MG/L;1277
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;TDS;MG/L;668
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;TSS;MG/L;37
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;DO;MG/L;2.1
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;BOD;MG/L;36.89
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;COD;MG/L;156.86
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;NO2;MG/L;-
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;NO3;MG/L;-
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;NH3;MG/L;-
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;KLORIN BEBAS;MG/L;-
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;T-P JUMLAH;-;-
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;T-P;MG/L;1.14
201511;SUNGAI KALI BARU TIMUR;PLTU PLUIT;FENOL;?/L;-
