target,mae,rmse,r2,train_samples,val_samples
pm_sepuluh,4.340769606512993,7.047743138438638,0.8403596278680361,12516,2209
pm_duakomalima,4.215052127365078,6.654765287750459,0.9364735488856595,12516,2209
sulfur_dioksida,1.818946558982696,2.5350237261971142,0.9297246403835194,12516,2209
karbon_monoksida,1.671954463649627,2.5389515307229527,0.9675007263715025,12516,2209
ozon,5.454723360169001,7.406558022562987,0.9541929273759523,12516,2209
nitrogen_dioksida,1.9077999273792046,2.5707306695686793,0.9382559967425887,12516,2209
